Date,Clients,Process,Scheduled Day,TAT,Process AHT,Peer review AHT,Source
2026-04-22,AIG,OverpaymentRiskReductionReport,22nd of each month (or first business day after holiday) ,,15.0,12.0,REPORT.CSV
2026-04-22,Kaiser,HCM census file,Wednesday,,,,DATALOAD.CSV
2026-04-22,BBU,Reports,"Monday, Wednesday and Friday",EOD,15.0,12.0,REPORT.CSV
2026-04-22,Kaiser,HCM Financial ,Wednesday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-22,AEP,Census Data Load,Daily,11:30 AM CST,61.0,20.0,DATALOAD.CSV
2026-04-22,Kinder Morgan,HRIS Data Load,Wednesday,4:00 PM CST,150.0,45.0,DATALOAD.CSV
2026-04-22,Regions,Bi-Weekly Data load,Bi-weekly Wednesday,EOD,120.0,45.0,DATALOAD.CSV
2026-04-22,AEP,AEP Total Rewards File Transfer,Wednesday,6:00 AM EST and 10:00 AM EST ,15.0,10.0,DATALOAD.CSV
2026-04-22,CAMPBELL,Week Financial/Earnings (Salaried participants),Bi-weekly Wednesday,,40.0,20.0,DATALOAD.CSV
2026-04-23,BJC,Bi-Weekly Census File,Bi - Weekly Thursday,Thursday ASAP,180.0,30.0,DATALOAD.CSV
2026-04-23,Hertz,Census Load,Thursday,EOD,90.0,30.0,DATALOAD.CSV
2026-04-23,Kaiser,FED Census ,Bi - Weekly Thursday ,EOD,105.0,30.0,DATALOAD.CSV
2026-04-23,Hertz,Financial Data Load,Thursday,EOD,75.0,30.0,DATALOAD.CSV
2026-04-23,Kinder Morgan, Overpay Risk Reduction ,23rd of each Month,EOD,15.0,12.0,REPORT.CSV
2026-04-23,AEP,Census Data Load,Daily,11:30 AM CST,61.0,20.0,DATALOAD.CSV
2026-04-23,Kinder Morgan,BW to Benecalc,Daily except Wednesday,4:00 PM CST,70.0,20.0,DATALOAD.CSV
2026-04-23,Kaiser,MAPMG Census ,Thursday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-23,AVON,HRIS Data Load,Thursday ,,30.0,20.0,DATALOAD.CSV
2026-04-23,Kaiser, Weekly Dual Payroll Report,Every Thrusday after HCM financial load,EOD,50.0,12.0,REPORT.CSV
2026-04-23,CAMPBELL,Census Data Load,Monday & Thursday,,40.0,20.0,DATALOAD.CSV
2026-04-24,AEP,InactiveDataFile,Friday,11:30 AM CST,90.0,30.0,DATALOAD.CSV
2026-04-24,WestRock,Data Load,Friday,Next day (12:00 PM CST),190.0,45.0,DATALOAD.CSV
2026-04-24,URS,Data Load,Bi - Weekly Friday,5:00 PM CST,65.0,20.0,DATALOAD.CSV
2026-04-24,Hertz,Validator Reports ,Next day After Hertz Census Load,,15.0,12.0,REPORT.CSV
2026-04-24,TForce Freight,Data Load,Friday ,EOD,,,DATALOAD.CSV
2026-04-24,Kinder Morgan,1. Weekly Death  Report ,Friday,12:00 PM CST,15.0,12.0,REPORT.CSV
2026-04-24,URS,Term Batch,Last Friday of the month,Friday EOD but after dataload,40.0,30.0,DATALOAD.CSV
2026-04-24,AEP,Census Data Load,Daily,11:30 AM CST,61.0,20.0,DATALOAD.CSV
2026-04-24,BBU,Reports,"Monday, Wednesday and Friday",EOD,15.0,12.0,REPORT.CSV
2026-04-24,Kinder Morgan,BW to Benecalc,Daily except Wednesday,4:00 PM CST,70.0,20.0,DATALOAD.CSV
2026-04-24,AEP,Overpayment Parameter Report,Friday,EOD,,,REPORT.CSV
2026-04-24,NYSE,HRIS Data Load,FRIDAY,,30.0,20.0,DATALOAD.CSV
2026-04-24,Kaiser,FED Financial,Bi -Weekly Friday,EOD,105.0,30.0,DATALOAD.CSV
