Date,Clients,Data Load,Target Time 
21-04-2026,Kaiser,TSPMG Census ,EOD
21-04-2026,Kinder Morgan,BW to Benecalc,4:00 PM CST
21-04-2026,HMH,Census Data Load,EOD
21-04-2026,Hexion,Census Data Load,24 hrs after receive the file
21-04-2026,Volvo,SAP HRIS LOAD,EOD
21-04-2026,CAMPBELL,Weekly Financial/Earnings (Hourly participants),EOD
Date,Clients,Reports,Target Time 
21-04-2026,MMC,MMC OTR Batch Automation Review, before 12 PM ET
21-04-2026,Edgewell,Overpayment Risk Reduction Report,EOD
21-04-2026,Campbell,OverpaymentRiskReductionReport,EOD
21-04-2026,Bimbo,Cash Balance - 9459 (2),EOD
21-04-2026,Bimbo,Cash Balance - 9462,EOD
21-04-2026,Bimbo,Cash Balance - 9465,EOD
21-04-2026,Edgewell,Manual calc - 9469,EOD
21-04-2026,Edgewell,Manual calc - 9470,EOD
21-04-2026,MMC,Manual calc - 9471,EOD
,,,
,,,
,,,
Date,Clients,Reports,Target Time 
22-04-2026,AEP,Census Data Load,11:30 AM CST
22-04-2026,AEP,AEP Total Rewards File Transfer,6:00 AM EST and 10:00 AM EST 
22-04-2026,Kaiser,HCM Financial ,EOD
22-04-2026,Kaiser,SCPMG Census,EOD
22-04-2026,Kinder Morgan,HRIS Data Load,4:00 PM CST
22-04-2026,Regions,Bi-Weekly Data load,EOD
22-04-2026,BBU,Census and Financial Load,EOD
22-04-2026,BOSCH,Data Load,EOD
22-04-2026,Kaiser,HCM census file,EOD
22-04-2026,CAMPBELL,Week Financial/Earnings (Salaried participants),EOD
Date,Clients,Reports,Target Time 
22-04-2026,Hilton,Overpayment Report ,ASAP
22-04-2026,BBU,Reports,EOD
22-04-2026,AIG,OverpaymentRiskReductionReport,EOD
22-04-2026,AEP,Weekly Estimates Online Report,9:00 AM CST
22-04-2026,CAMPBELL,Cash Balance -9474 ,ASAP
22-04-2026,CAMPBELL,Cash Balance -9473,ASAP
22-04-2026,CAMPBELL,Cash Balance - 9480,ASAP
,,,
,,,
Date,Clients,Reports,Target Time 
23-04-2026,AEP,Census Data Load,11:30 AM CST
23-04-2026,BJC,Bi-Weekly Census File,Thursday ASAP
23-04-2026,Kaiser,FED Census ,EOD
23-04-2026,Kaiser,MAPMG Census ,EOD
23-04-2026,Hertz,Census Load,EOD
23-04-2026,Hertz,Financial Data Load,EOD
23-04-2026,Kinder Morgan,BW to Benecalc,4:00 PM CST
23-04-2026,AVON,HRIS Data Load,EOD
23-04-2026,CAMPBELL,Census Data Load,EOD
23-04-2026,Kaiser,HCM Post load YOS and Transfer,EOD
Date,Clients,Reports,Target Time 
23-04-2026,Kinder Morgan, Overpay Risk Reduction ,EOD
23-04-2026,Kaiser, Weekly Dual Payroll Report,EOD
23-04-2026,Kinder Morgan,Manual Calc - 9477,EOD
23-04-2026,Edgewell,Manual Calc - 9485,EOD
23-04-2026,Bimbo,Cash Balance - 9460,EOD
23-04-2026,Campbell,Cash Balance - 9484,EOD
,,,
,,,
Date,Clients,Data Load,Target Time 
24-04-2026,AEP,Census Data Load,11:30 AM CST
24-04-2026,AEP,InactiveDataFile,11:30 AM CST
24-04-2026,Kaiser,FED Financial,EOD
24-04-2026,Kaiser,HPMG Census,EOD
24-04-2026,Kinder Morgan,BW to Benecalc,4:00 PM CST
24-04-2026,WestRock,Data Load,Next day (12:00 PM CST)
24-04-2026,URS,Data Load,5:00 PM CST
24-04-2026,URS,Term Batch,Friday EOD but after dataload
24-04-2026,NYSE,HRIS Data Load,EOD
24-04-2026,TForce Freight,Data Load,EOD
Date,Clients,Reports,Target Time 
24-04-2026,MMC,MMC Weekly Disbursement Report,11 AM CST
24-04-2026,MMC,MMC Weekly Phased Retirement Status Code Report,12:00 PM CST
24-04-2026,Kinder Morgan,1. Weekly Death  Report ,12:00 PM CST
24-04-2026,Hertz,Validator Reports ,EOD
24-04-2026,BBU,Reports,EOD
24-04-2026,AEP,Overpayment Parameter Report,EOD
